Sl. No.,Commodity (Variety ),Category,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Percentage increase in MSP 2023-24 over 2018-19
1,Paddy (Common),Kharif Crops,1750,1815,1868,1940,2040,2183,24.74
2,Paddy (Grade A),Kharif Crops,1770,1835,1888,1960,2060,2203,24.46
3,Jowar (Hybrid),Kharif Crops,2430,2550,2620,2738,2970,3180,30.86
4,Jowar (Maldandi),Kharif Crops,2450,2570,2640,2758,2990,3225,31.63
5,Bajra,Kharif Crops,1950,2000,2150,2250,2350,2500,28.21
6,Ragi,Kharif Crops,2897,3150,3295,3377,3578,3846,32.76
7,Maize,Kharif Crops,1700,1760,1850,1870,1962,2090,22.94
8,Tur (Arhar),Kharif Crops,5675,5800,6000,6300,6600,7000,23.35
9,Moong,Kharif Crops,6975,7050,7196,7275,7755,8558,22.7
10,Urad,Kharif Crops,5600,5700,6000,6300,6600,6950,24.11
11,Groundnut,Kharif Crops,4890,5090,5275,5550,5850,6377,30.41
12,Sunflower Seed,Kharif Crops,5388,5650,5885,6015,6400,6760,25.46
13,Soyabeen (Yellow),Kharif Crops,3399,3710,3880,3950,4300,4600,35.33
14,Sesamum,Kharif Crops,6249,6485,6855,7307,7830,8635,38.18
15,Nigerseed,Kharif Crops,5877,5940,6695,6930,7287,7734,31.6
16,Cotton (Medium Staple),Kharif Crops,5150,5255,5515,5726,6080,6620,28.54
17,Cotton (Long Staple),Kharif Crops,5450,5550,5825,6025,6380,7020,28.81
18,Wheat,Rabi Crops,1840,1925,1975,2015,2125,2275,23.64
19,Barley,Rabi Crops,1440,1525,1600,1635,1735,1850,28.47
20,Gram,Rabi Crops,4620,4875,5100,5230,5335,5440,17.75
21,Masur (Lentil),Rabi Crops,4475,4800,5100,5500,6000,6425,43.58
22,Rapeseed and Mustard,Rabi Crops,4200,4425,4650,5050,5450,5650,34.52
23,Safflower,Rabi Crops,4945,5215,5327,5441,5650,5800,17.29
24,Other Crops,Rabi Crops,NA,NA,NA,NA,NA,NA,NA
25,Copra (Calender Year - Milling),Rabi Crops,7511,9521,9960,10335,10590,10860,44.59
26,Copra (Calender Year - Ball),Rabi Crops,7750,9920,10300,10600,11000,11750,51.61
27,Jute,Rabi Crops,3700,3950,4225,4500,4750,5050,36.49
